time,altitude_ft,lat_deg,lon_deg,vc_kts,roll,pitch,yaw
0.008333333333333333,550.000002999342,29.58133792773741,-95.10662805331603,129.27864110674744,-7.514858710090743e-13,1.738472582643072e-08,2.1845312615387153e-12
0.016666666666666666,549.9985005247513,29.581342966364065,-95.10662805331084,129.24525000584356,-7.494295624576471e-10,0.004965947609267034,359.9999999986946
0.025,549.9965685761299,29.581348004228023,-95.1066280533022,129.2118985766162,-0.00065102239043157,0.01395478116587285,4.217845821024235e-08
0.03333333333333333,549.9939043736697,29.581353040790038,-95.10662805329025,129.17855256040954,-0.0014265220165814718,0.026132635884355236,6.015804021650333e-07
0.041666666666666664,549.9905242833137,29.58135807604837,-95.1066280532751,129.1452092138887,-0.0022190759962241197,0.04091462250011287,359.99999846491835
0.049999999999999996,549.9864492305177,29.58136311000295,-95.10662805325687,129.11186580530247,-0.0030176538787152272,0.057854572897563024,359.99999277570726
0.05833333333333333,549.9816996449917,29.581368142653055,-95.10662805323567,129.07851845479925,-0.0038238092185763012,0.07659329431605784,359.99998373083616
0.06666666666666667,549.9762958944784,29.581373173997893,-95.10662805321161,129.0451638259117,-0.004639709422243511,0.09684009097779998,359.99997159154265
0.075,549.9702580825415,29.58137820403658,-95.10662805318482,129.01179902260714,-0.005464250927962861,0.11835905023040472,359.99995635722655
0.08333333333333333,549.9636061203224,29.58138323276826,-95.1066280531554,128.97842150771626,-0.006296219336551189,0.14095809893494105,359.99993802635674
0.09166666666666666,549.9563597134851,29.581388260191964,-95.1066280531235,128.9450290380769,-0.007134477224245946,0.1644802599801373,359.99991660968897
0.09999999999999999,549.9485383785346,29.58139328630673,-95.10662805308927,128.91161961262856,-0.007977969749487656,0.1887966658030911,359.9998921295656
0.10833333333333332,549.9401614036691,29.581398311111553,-95.10662805305282,128.8781914307769,-0.008825719491615114,0.21380097546143817,359.9998646186005
0.11666666666666665,549.9312478553126,29.58140333460544,-95.10662805301428,128.84474285906364,-0.00967682101731738,0.23940491298396677,359.9998341185007
0.12499999999999999,549.9218166074617,29.58140835678734,-95.10662805297379,128.81127240444846,-0.010530435792011366,0.26553470155014813,359.9998006790427
0.13333333333333333,549.91188628624,29.581413377656215,-95.10662805293151,128.77777869285134,-0.011385787448249361,0.29212821342220857,359.9997643571739
0.14166666666666666,549.9014752927368,29.581418397211014,-95.10662805288759,128.74426045191018,-0.01224215738783023,0.3191326917835033,359.9997252162164
0.15,549.8906018029946,29.581423415450683,-95.10662805284214,128.71071649708023,-0.013098880694058809,0.34650292957080536,359.9996833251512
0.15833333333333333,549.8792837745456,29.581428432374114,-95.10662805279534,128.67714572049604,-0.013955342332164142,0.374199813496156,359.9996387579681
0.16666666666666666,549.8675389072625,29.581433447980235,-95.10662805274731,128.64354708190066,-0.014810973617454452,0.40218915991065485,359.9995915930689
0.175,549.8553846792423,29.581438462267954,-95.10662805269823,128.6099196013529,-0.015665248932383465,0.4304407839042808,359.9995419127133
0.18333333333333332,549.8428383109274,29.58144347523618,-95.10662805264823,128.5762623532458,-0.01651768267488396,0.45892775481334513,359.9994898025009
0.19166666666666665,549.8299168107641,29.581448486883783,-95.10662805259749,128.5425744614625,-0.017367826421953825,0.4876258007143501,359.99943535088266
0.19999999999999998,549.8166369099787,29.581453497209658,-95.10662805254611,128.50885509546447,-0.018215266293142986,0.5165128319997951,359.9993786486991
0.20833333333333331,549.8030151310631,29.581458506212677,-95.10662805249429,128.47510346691956,-0.019059620500183623,0.5455685601357191,359.99931978873923
0.21666666666666665,549.7890677160258,29.581463513891705,-95.10662805244218,128.4413188270665,-0.019900537069630696,0.5747741925004882,359.99925886532026
0.22499999999999998,549.7748106948807,29.581468520245597,-95.10662805238991,128.40748667971297,-0.02073769172648362,0.6041121880367821,359.9991959738857
0.2333333333333333,549.7602598204196,29.58147352527219,-95.10662805233765,128.37359100423242,-0.02157078592613826,0.6335658640158246,359.999131210693
0.24166666666666664,549.7454306236574,29.58147852896885,-95.10662805228556,128.33963818644983,-0.02239954503797973,0.6631191837440746,359.99906467248354
0.24999999999999997,549.7303383649055,29.58148353133404,-95.10662805223377,128.30562787328984,-0.023223716662904088,0.692756969494075,359.99899645601823
0.2583333333333333,549.7149980696547,29.58148853236563,-95.10662805218247,128.27155974896434,-0.024043069049377305,0.722464794600525,359.99892665773433
0.26666666666666666,549.6994244763866,29.581493532061614,-95.10662805213177,128.23743353154876,-0.024857389626782245,0.7522288871168374,359.99885537342135
0.275,549.6836321278993,29.58149853041994,-95.10662805208186,128.20324897153276,-0.025666483643535427,0.7820360520675699,359.9987826979129
0.2833333333333334,549.6676352669338,29.581503527438603,-95.10662805203287,128.16900585059645,-0.026470172902379633,0.8118736088425358,359.9987087247931
0.29166666666666674,549.6514479046715,29.58150852311558,-95.10662805198494,128.1347039804738,-0.02726829458610932,0.8417293406958581,359.99863354611875
0.3000000000000001,549.6350838044244,29.581513517448833,-95.10662805193826,128.100343201894,-0.02806070016752334,0.871591453917867,359.99855725215644
0.30833333333333346,549.6185564653255,29.581518510436347,-95.10662805189294,128.06592338369984,-0.028847254397562527,0.9014485447346322,359.9984799311358
0.3166666666666668,549.6018791386396,29.581523502076116,-95.10662805184913,128.03144442191734,-0.029627834366287204,0.9312895723798128,359.99840166901816
0.3250000000000002,549.5850648342847,29.581528492366097,-95.106628051807,127.9969062389073,-0.03040232863159511,0.9611038370949162,359.99832254928066
0.33333333333333354,549.5681262947396,29.58153348130428,-95.10662805176666,127.96230878268693,-0.03117063641086738,0.9908809620636556,359.9982426527173
