time,altitude_ft,vc_kts,roll_deg,pitch_deg,yaw_deg,lat_deg,lon_deg
0.008333333333333333,3.86263880469451e-06,3.7031147586791904,3.221272536958714e-18,1.2722218725855517e-14,3.2566492211871996e-21,0.0,-4.294718150238113e-18
0.016666666666666666,0.09982948773909744,4.1080264657514185,-3.889565936197317e-11,-0.13201035593871255,3.5850417627646944e-08,4.36794683495251e-14,-3.0834696803473223e-13
0.025,0.14112744156288254,5.211421743925556,-5.355416465084655e-10,-0.4035657721805846,2.0401282930276277e-07,9.512596282729373e-10,1.2598002596923134e-13
0.03333333333333333,0.2262760721342193,5.576922047877298,-1.1933317883644693e-09,-0.5179656097273525,2.2760523262296118e-07,3.2470170379849387e-09,-3.4549945868174397e-13
0.041666666666666664,0.3029635680298976,5.832939970507266,-1.4899141425242532e-08,-0.666806940631631,1.9096164735617437e-07,3.2079306850942053e-09,3.722798019132274e-13
0.049999999999999996,0.38615955237378,5.913307398615401,-3.176914591964341e-08,-0.7409102715197822,6.617419465900525e-08,5.7423950941596686e-09,-2.1921754642758333e-13
0.05833333333333333,0.46886882012203124,5.8951866448180015,-7.623466953122731e-08,-0.7815555703959347,359.99999993065046,5.325551120150367e-09,5.009176260055483e-13
0.06666666666666667,0.5510799306226314,5.834939232203707,-1.254597413440286e-07,-0.7910580217728113,359.99999978748195,6.453626404059855e-09,-7.856717294139455e-14
0.075,0.6324787086286912,5.75129769705748,-2.1548559163704422e-07,-0.7909852803829658,359.99999964433385,7.016021481462537e-09,6.259027296535316e-13
0.08333333333333333,0.712646409757628,5.657190460407338,-2.953106622980939e-07,-0.790453955324389,359.99999978713936,7.567497634782495e-09,-3.013766365479784e-13
0.09166666666666666,0.7914927806418297,5.553445790757549,-4.5286396207002296e-07,-0.7913426129063295,359.99999988240637,8.060027960493663e-09,9.302501183948728e-13
0.09999999999999999,0.8688171475459816,5.4401936040001475,-5.709561899721217e-07,-0.7933593115779863,359.99999999189157,8.505380177600064e-09,-5.944628189539884e-13
0.10833333333333332,0.9444826078844986,5.319957162409871,-8.101203593554493e-07,-0.7962648877307273,4.246139407875195e-08,8.911269756892637e-09,1.2042215610055463e-12
0.11666666666666665,1.018422679432475,5.194560680710955,-9.683707859619994e-07,-0.7998784992816358,1.193797097294518e-07,9.281807242751892e-09,-8.833494926842997e-13
0.12499999999999999,1.0905735193857602,5.065545456641051,-1.2963825266243356e-06,-0.8040671153439976,1.2716402779714777e-07,9.621001075076951e-09,1.4454427944113203e-12
0.13333333333333333,1.1608933879883807,4.934197518321036,-1.5167324067353208e-06,-0.8087377672941802,1.643893343597429e-07,9.931580461589702e-09,-8.509848037673276e-13
0.14166666666666666,1.229357019741005,4.80158590600542,-1.9200002042676685e-06,-0.8138310125621443,1.3569666440025012e-07,1.0215370874421675e-08,1.4878757260533685e-12
0.15,1.2959528073687052,4.668599255694828,-2.1952268197908545e-06,-0.8192487223524522,1.3821776598720115e-07,1.0595148820859415e-08,-7.715647156407026e-13
0.15833333333333333,1.360680744580092,4.53595563052625,-2.66587301336078e-06,-0.824996115110443,7.790808679866978e-08,1.0939558320206752e-08,1.5132884621577587e-12
0.16666666666666666,1.4235496590966346,4.4042504441912875,-2.9910622768262726e-06,-0.8310807241161839,4.900865289003826e-08,1.1309600695284808e-08,-7.035051740507602e-13
0.175,1.484576221644598,4.273966063073278,-3.521628198813357e-06,-0.8375247706984139,359.9999999596868,1.1695877977126454e-08,1.5165846953503298e-12
0.18333333333333332,1.5437831274735354,4.145491476138,-3.891531034676319e-06,-0.8443620171404108,359.99999990165446,1.2100165731038138e-08,-6.492643720895008e-13
0.19166666666666665,1.601198023582965,4.0191369605744525,-4.473653540978889e-06,-0.8516354085255915,359.9999997857307,1.2524275200109185e-08,1.4970845862901675e-12
0.19999999999999998,1.6568524392200314,3.895146596154055,-4.8541737253090395e-06,-0.8593951094225065,359.99999970728345,1.2970219811094635e-08,-8.538978376735758e-13
0.20833333333333331,1.7107809420521614,3.7737089098961283,-5.495717278581839e-06,-0.8676968770037545,359.9999995639428,1.3440165092457684e-08,1.5814239255799707e-12
0.21666666666666665,1.76302043170711,3.6549658820843733,-5.887525817724847e-06,-0.8766007172645871,359.999999465047,1.3936390252235313e-08,-1.0947995365080762e-12
0.22499999999999998,1.8136095183500411,3.5390205580582212,-6.583199065408474e-06,-0.8861697790873888,359.9999992962152,1.4461255881741965e-08,1.6236812170277412e-12
0.2333333333333333,1.8625880418985623,3.4259435083562377,-6.98124308115839e-06,-0.8964694478026267,359.99999917819866,1.5017176934018828e-08,-1.3243682367432157e-12
0.24166666666666664,1.9099966304856277,3.3157782803399445,-7.721835385179127e-06,-0.9075666063434015,359.99999898646905,1.5606600218052125e-08,1.6293507428227826e-12
0.24999999999999997,1.9558763864777755,3.211029634062289,-8.119752739338903e-06,-0.9195290367651546,359.99999885100885,1.623198567422766e-08,-1.5397205343034449e-12
0.2583333333333333,2.0003355062759813,3.1105111992565146,-8.89573254657107e-06,-0.9316563468044503,359.9999987881174,1.6899481919050864e-08,1.6104819152863093e-12
0.26666666666666666,2.043403501050523,3.0125923390497005,-9.288294904298965e-06,-0.9431664080439482,359.9999988746647,1.761064380611956e-08,-1.7302568132533528e-12
0.275,2.0851028304506705,2.917432078430181,-1.0088169577828825e-05,-0.953728597633385,359.9999988168639,1.8366615709613003e-08,1.5573541785673331e-12
0.2833333333333334,2.12548389198027,2.824889079976535,-1.0495159765042418e-05,-0.9631804661442936,359.99999875478875,1.9170118883348482e-08,-1.7358738886788677e-12
