time,altitude_ft,lat_rad,lon_rad,u_fps,v_north_fps,v_east_fps,beta_deg,rudder_norm,airspeed_setpoint,vc_kts,heading_true_deg
0.01,550.000002999342,0.5162917439840943,-1.6599237999999699,219.94310051699154,219.94310051704076,0.00013202578923082785,3.43930740371156e-05,0.0,0.0,129.27864110674744,2.1846921771539477e-12
0.02,549.9985005247513,0.5162918319247192,-1.6599237999998793,219.88623500236687,219.88625195889543,0.0002637443383526791,6.872516492497924e-05,0.0,0.0,129.2452576051261,360.0265181000848
0.03,549.996571377714,0.5162919198520425,-1.6599237999997285,219.82934481370484,219.82941879999038,0.0003952552354614111,0.00010301701305131779,0.0,0.0,129.2119048718084,1.2102302123648155e-09
0.04,549.9939076253336,0.5162920077566339,-1.6599237999995176,219.77240294365072,219.77259233826342,0.000526570341171351,0.0001372664195812818,0.0,0.0,129.17857687606264,1.276897176655424e-08
0.05,549.9905226623735,0.5162920956384984,-1.6599237999992467,219.7153895548235,219.71576631344894,0.0006576881660711568,0.0001714676527296768,0.0,0.0,129.14526843339894,3.863275293630399e-08
0.060000000000000005,549.9864351377973,0.516292183497636,-1.6599237999989158,219.65829066960418,219.65893613269938,0.000788606928295372,0.00020561486542600905,0.0,0.0,129.11197540168374,8.408793063284902e-08
0.07,549.981662516659,0.5162922713340435,-1.659923799998525,219.60109712779268,219.60209851502952,0.0009193249524820689,0.00023970221292928453,0.0,0.0,129.07869448240834,1.5443085026771067e-07
0.08,549.9762219052495,0.5162923591477182,-1.6599237999980745,219.54380360827105,219.54525120694822,0.0010498406198806893,0.00027372385119810015,0.0,0.0,129.0454230496717,2.5495648345879667e-07
0.09,549.9701301228583,0.5162924469386557,-1.6599237999975645,219.48640777225714,219.4883927563837,0.0011801523659647772,0.00030767394574435415,0.0,0.0,129.0121590146829,3.9094941919486623e-07
0.09999999999999999,549.9634036234854,0.5162925347068514,-1.6599237999969947,219.42890954421907,219.4315223330207,0.0013102586834045453,0.00034154668033847504,0.0,0.0,128.97890071759406,5.676766818538926e-07
0.10999999999999999,549.956058570866,0.5162926224523003,-1.6599237999963654,219.37131052594916,219.3746395856533,0.0014401581213101193,0.00037533626359548836,0.0,0.0,128.94564684117822,7.903818680250674e-07
0.11999999999999998,549.9481107862789,0.5162927101749979,-1.6599237999956769,219.31361352966076,219.31774452905688,0.0015698492847015773,0.0004090369344902647,0.0,0.0,128.91239634180295,1.0642804529318808e-06
0.12999999999999998,549.9395757909516,0.5162927978749388,-1.659923799994929,219.2558222125503,219.2608374544008,0.001699330834118761,0.00044264296708397283,0.0,0.0,128.87914839422655,1.3945559707135718e-06
0.13999999999999999,549.9304687962726,0.5162928855521187,-1.6599237999941219,219.19794079515384,219.20391885842545,0.001828601484648522,0.0004761486745222526,0.0,0.0,128.8459023476284,1.7863567615928622e-06
0.15,549.9208046972702,0.5162929732065331,-1.6599237999932557,219.13997384734364,219.14698938757405,0.0019576600058579478,0.0005095484125984858,0.0,0.0,128.8126576904585,2.244793348533222e-06
0.16,549.9105981084863,0.5162930608381776,-1.6599237999923304,219.08192612797794,219.09004979404145,0.0020865052192266986,0.0005428365822154877,0.0,0.0,128.77941402220878,2.77493623762945e-06
0.17,549.8998633313665,0.5162931484470485,-1.6599237999913465,219.02380246651006,219.03310090130657,0.002215135998362287,0.0005760076322396075,0.0,0.0,128.74617103109856,3.381813988415304e-06
0.18000000000000002,549.8886143966535,0.5162932360331424,-1.6599237999903036,218.96560767702871,218.97614357722074,0.002343551268424439,0.0006090560617835266,0.0,0.0,128.71292847605255,4.070411626966031e-06
0.19000000000000003,549.8768650187264,0.5162933235964555,-1.659923799989202,218.90734649709185,218.91917871309528,0.0024717500034375527,0.0006419764217065175,0.0,0.0,128.6796861723977,4.8456692213566755e-06
0.20000000000000004,549.8646286738867,0.5162934111369856,-1.6599237999880418,218.84902354533713,218.86220720756629,0.0025997312266677606,0.0006747633166691866,0.0,0.0,128.64644398042836,5.712480679865365e-06
0.21000000000000005,549.8519185351138,0.51629349865473,-1.659923799986823,218.79064329316503,218.80522995424215,0.002727494009094208,0.000707411406490863,0.0,0.0,128.6132017962257,6.67569268690956e-06
0.22000000000000006,549.8387475046881,0.5162935861496867,-1.6599237999855458,218.73221004686957,218.74824783235596,0.0028550374680899942,0.0007399154074864608,0.0,0.0,128.5799595444256,7.740103699650855e-06
0.23000000000000007,549.8251282500682,0.5162936736218536,-1.6599237999842105,218.67372793743596,218.69126169979322,0.002982360767187235,0.0007722700938334259,0.0,0.0,128.54671717231687,8.910463129778339e-06
0.24000000000000007,549.8110731484417,0.5162937610712295,-1.659923799982817,218.61520091589608,218.63427238799744,0.0031094631145099643,0.0008044702985344585,0.0,0.0,128.5134746452285,1.0191470566114347e-05
0.25000000000000006,549.7965943291258,0.5162938484978132,-1.6599237999813652,218.55663275264888,218.57728069835312,0.003236343761271563,0.0008365109143592281,0.0,0.0,128.48023194281393,1.1587774989704405e-05
0.26000000000000006,549.7817036866156,0.5162939359016042,-1.6599237999798555,218.49802703955874,218.5202873997325,0.0033630020024741237,0.0008683868951376618,0.0,0.0,128.4469890560607,1.3103974213576218e-05
0.2700000000000001,549.7664128610108,0.5162940232826018,-1.6599237999782879,218.4389610540052,218.46290784825854,0.003489435533767059,0.0009000938945511784,0.0,0.0,128.41354328948313,1.4744614209978161e-05
0.2800000000000001,549.7506571418871,0.5162941106405103,-1.6599237999766623,218.38010539825052,218.40566874441234,0.0036156728935051014,0.000919537839575054,0.0,0.0,128.38017293678737,1.7025471258303364e-05
