Time,q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),guidance/wp-distance,ap/active-waypoint,position/h-agl-ft,ap/altitude_setpoint,velocities/vc-kts,attitude/theta-deg,fcs/throttle-cmd-norm[0],fcs/flap-pos-norm,gear/gear-pos-norm,velocities/p-rad_sec,velocities/q-rad_sec,velocities/r-rad_sec,accelerations/udot-ft_sec2,accelerations/vdot-ft_sec2,accelerations/wdot-ft_sec2,position/lat-geod-rad,position/long-gc-rad
260.0,61.88024005,7078085.923,229.870171719,1357.8048266,229.8553089835144,0.3412634811913664,-2.59158591468568,0.0266471409664442,0.000178782957835,-0.0049051557326791,-0.0105502099256378,0.1134671813244346,0.0228184312039285,-0.3442515426860909,-0.0781022988506883,-32.12338310269764,229.8553089835144,0.3412634811913664,-2.59158591468568,1342.896237917168,20.39140194479945,199.6192176537618,20.42158405191492,112.1401921245005,199.6192176880613,229.632841138833,10.44270942632281,0.0628143914878873,502.46300725639,476.46092315904,0.1043722495565819,-0.6614750602630122,2.517533109550313,0.9997414908557054,0.0010373923774159,-0.0057510229754384,0.0219727348741135,-0.3449598853829066,0.6520005476973474,0.5717371050588747,0.3591860883599879,0.3483493286110168,-0.6465514083479793,-0.5778921247663361,-0.3558998649036835,-0.6459743927059,0.085060902902171,29.442221539172,29.607242802017,-95.064364843989,-1263224.667575802,-18164885.20329387,10277792.36285971,-1607374.123600291,-18137671.83065117,10277792.36285971,1.0862992743821,476.46092315904,26.000000001627,3256.633734630652,3,476.4609231590367,500.0000000034451,135.20789520902528,-0.6614750602630121,0.75,0.2499999999999999,0.0,3.056907492571278e-05,-2.4317441354494016e-05,-1.424970569675232e-05,0.0266471409664442,0.000178782957835,-0.0049051557326791,0.5167438693325827,-1.6591861678447575
260.01,61.88038492,7078094.249,229.870438665,1357.80477288,229.8555753903648,0.3412653161764476,-2.591634959272625,0.0266342462130658,0.0001787070357407,-0.0049028902490206,-0.0105418694624559,0.113461094389649,0.0228062027070166,-0.3442687195561695,-0.0781027582360212,-32.12338163992278,229.8555753903648,0.3412653161764476,-2.591634959272625,1342.896132456781,20.39253658616106,199.6194457768994,20.42157819777164,112.1403343084859,199.6194458113195,229.6331091706456,10.44269169472297,0.0627990157564535,502.46237918735,476.46029508862,0.1043898508445347,-0.6614826575643992,2.517525081593475,0.9997414918518654,0.0010375469910904,-0.0057510859549466,0.0219726657704187,-0.3449598899308821,0.6520004979088679,0.5717372483557022,0.3591859462756321,0.3483494615749153,-0.646551146500511,-0.5778925033210037,-0.3558995957723743,-0.64598586779513,0.085061261497182,29.442227831607,29.607249116231,-95.064364515399,-1263211.23861395,-18164884.99937418,10277794.35905303,-1607373.91938448,-18137670.70924854,10277794.35905303,1.0863410551234,476.46029508862,25.999999999707,3254.3350871566636,3,476.4602950886196,500.00000000343937,135.20805348434425,-0.6614826575643991,0.75,0.2499999999999999,0.0,3.056104588082389e-05,-2.4313706901564668e-05,-1.4208250819943459e-05,0.0266342462130658,0.0001787070357407,-0.0049028902490206,0.5167439795364086,-1.6591861621097688
260.02,61.88052971,7078102.571,229.870705481,1357.80471922,229.8558416683028,0.3412671503893181,-2.591683981207012,0.0266213584841386,0.0001786319611491,-0.0049006248413192,-0.0105335309701128,0.1134550108254579,0.0227939805999923,-0.3442858882210524,-0.0781032174231656,-32.12338017760269,229.8558416683028,0.3412671503893181,-2.591683981207012,1342.896027079788,20.39367116667029,199.619673777784,20.42157242690107,112.1404764301781,199.6196738123246,229.6333770691425,10.44267405157023,0.062783652778771,502.46175127104,476.4596671715,0.1044074472589662,-0.6614902527595172,2.517517077389452,0.9997414928435882,0.0010377015630259,-0.0057511489168198,0.0219725968737134,-0.3449598945377936,0.6520004482460084,0.5717373914965012,0.3591858041548863,0.3483495945972523,-0.6465508847799462,-0.5778928817207266,-0.3558993266040683,-0.64599733757414,0.085061619946676,29.44223412405,29.607255430452,-95.064364186808,-1263197.809653152,-18164884.79544314,10277796.35524863,-1607373.715168727,-18137669.58784448,10277796.35524863,1.0863828358648,476.4596671715,25.999999997787,3252.0364370147577,3,476.45966717149594,500.0000000034336,135.20821168338344,-0.6614902527595172,0.75,0.2499999999999999,0.0,3.055301010238031e-05,-2.4309970853793104e-05,-1.4166810711015272e-05,0.0266213584841386,0.0001786319611491,-0.0049006248413192,0.5167440897403629,-1.6591861563747892
260.03,61.88067443,7078110.89,229.870972168,1357.80466562,229.8561078173986,0.3412689838386713,-2.591732980489766,0.0266084777752683,0.0001785577331027,-0.0048983595148257,-0.0105251944543887,0.1134489306110389,0.0227817648901016,-0.3443030486848233,-0.0781036764141563,-32.12337871575929,229.8561078173986,0.3412689838386713,-2.591732980489766,1342.895921786171,20.39480568636072,199.6199016564794,20.42156673928416,112.1406184896106,199.6199016911406,229.6336448343953,10.44265649684265,0.0627683025510941,502.46112350747,476.45903941093,0.1044250387961156,-0.6614978458474826,2.517509096929786,0.9997414938308754,0.001037856093189,-0.005751211861051,0.0219725281839237,-0.3449598992035973,0.6520003987087355,0.5717375344813052,0.3591856619978003,0.3483497276779843,-0.6465506231862511,-0.577893259965538,-0.3558990573988158,-0.64600880204299,0.085061978252795,29.442240416499,29.607261744681,-95.064363858219,-1263184.380693408,-18164884.59150076,10277798.35144651,-1607373.510953031,-18137668.46643901,10277798.35144651,1.0864246166061,476.45903941093,26.000000005654,3249.7377842060746,3,476.4590394109255,500.000000003428,135.20836980618986,-0.6614978458474826,0.75,0.2499999999999999,0.0,3.0544967859697875e-05,-2.4306233138345052e-05,-1.412538538671812e-05,0.0266084777752683,0.0001785577331027,-0.0048983595148257,0.5167441999444458,-1.6591861506398196
260.04,61.88081909,7078119.204,229.871238726,1357.80461209,229.8563738377224,0.3412708165330045,-2.591781957121725,0.0265956040819279,0.0001784843512739,-0.004896094270272,-0.0105168599207059,0.1134428537290475,0.0227695555823981,-0.3443202009516387,-0.0781041352109787,-32.12337725441041,229.8563738377224,0.3412708165330045,-2.591781957121725,1342.895816575909,20.39594014526576,199.6201294130498,20.42156113490165,112.1407604868172,199.6201294478314,229.6339124664754,10.4426390305181,0.0627529650694618,502.46049590036,476.45841180691,0.104442625452357,-0.6615054368273267,2.517501140206018,0.9997414948137292,0.0010380105815475,-0.0057512747876324,0.0219724597009755,-0.3449599039282503,0.652000349297015,0.5717376773101476,0.3591855198044239,0.3483498608170688,-0.6465503617193917,-0.5778936380554713,-0.3558987881566667,-0.64602026120173,0.085062336417632,29.442246708956,29.607268058917,-95.06436352963,-1263170.951734716,-18164884.38754703,10277800.34764666,-1607373.306737392,-18137667.34503211,10277800.34764666,1.0864663973474,476.45841180691,25.999999997209,3247.4391287329568,3,476.4584118069105,500.00000000342226,135.20852785279607,-0.6615054368273267,0.75,0.2499999999999999,0.0,3.0536919457291764e-05,-2.4302493680418223e-05,-1.4083974866379623e-05,0.0265956040819279,0.0001784843512739,-0.004896094270272,0.5167443101486568,-1.6591861449048588
260.05,61.88096367,7078127.514,229.871505155,1357.80455863,229.8566397293442,0.3412726484808593,-2.591830911103827,0.0265827373995604,0.0001784118151073,-0.0048938291163125,-0.0105085273748051,0.1134367801562206,0.0227573526853586,-0.344337345025688,-0.0781045938156432,-32.12337579358071,229.8566397293442,0.3412726484808593,-2.591830911103827,1342.895711448983,20.39707454341864,199.6203570475591,20.42155561373427,112.140902421831,199.620357082461,229.6341799654537,10.44262165257445,0.0627376403296398,502.45986844599,476.45778435619,0.1044602072242605,-0.6615130256980548,2.517493207209674,0.9997414957921508,0.0010381650280709,-0.0057513376965559,0.0219723914247947,-0.3449599087117107,0.6520003000108123,0.5717378199830626,0.3591853775748055,0.3483499940144646,-0.646550100379333,-0.5778940159905607,-0.35589851887767,-0.64603171505044,0.085062694443292,29.442253001421,29.607274373161,-95.064363201041,-1263157.522777076,-18164884.18358196,10277802.34384909,-1607373.102521808,-18137666.2236238,10277802.34384909,1.0865081780887,476.45778435619,25.999999995289,3245.1404705907476,3,476.45778435618826,500.00000000341646,135.20868582324724,-0.6615130256980548,0.75,0.2499999999999999,0.0,3.0528865185988624e-05,-2.429875240999794e-05,-1.4042579167855592e-05,0.0265827373995604,0.0001784118151073,-0.0048938291163125,0.5167444203529963,-1.6591861391699072
260.06,61.88110818,7078135.821,229.871771455,1357.80450522,229.8569054923344,0.3412744796906386,-2.591879842437109,0.0265698777234925,0.0001783401237681,-0.0048915640635769,-0.0105001968223512,0.113430709868517,0.0227451562077867,-0.3443544809112282,-0.0781050522301256,-32.12337433329569,229.8569054923344,0.3412744796906386,-2.591879842437109,1342.895606405372,20.39820888085234,199.6205845600714,20.42155017576246,112.1410442946853,199.6205845950937,229.6344473314018,10.44260436298926,0.0627223283271796,502.45924114063,476.45715705223,0.1044777841085591,-0.6615206124586381,2.517485297932252,0.9997414967661424,0.0010383194327302,-0.0057514005878132,0.0219723233553069,-0.3449599135539382,0.652000250850092,0.5717379625000855,0.3591852353089937,0.3483501272701316,-0.6465498391660395,-0.5778943937708406,-0.3558982495618745,-0.64604316358922,0.085063052331843,29.442259293892,29.607280687412,-95.064362872453,-1263144.093820487,-18164883.97960554,10277804.3400538,-1607372.89830628,-18137665.10221406,10277804.3400538,1.0865499588301,476.45715705223,25.999999999894,3242.8418097898902,3,476.4571570522347,500.0000000034108,135.20884371759576,-0.6615206124586381,0.75,0.2499999999999999,0.0,3.052080531675569e-05,-2.4295009262171688e-05,-1.400119830697703e-05,0.0265698777234925,0.0001783401237681,-0.0048915640635769,0.516744530557464,-1.659186133434965
260.07,61.88125263,7078144.123,229.872037627,1357.80445189,229.8571711267627,0.3412763101703202,-2.591928751122708,0.02655702504908,0.0001782692767045,-0.0048892991053577,-0.0104918682679087,0.1134246428552643,0.0227329661506736,-0.3443716086124677,-0.0781055104562708,-32.12337287356531,229.8571711267627,0.3412763101703202,-2.591928751122708,1342.895501445056,20.39934315759959,199.6208119506511,20.42154482096626,112.1411861054128,199.6208119857936,229.6347145643906,10.44258716173979,0.0627070290573139,502.45861399546,476.4565299081,0.1044953561021297,-0.6615281971079933,2.517477412365264,0.9997414977357058,0.0010384737954974,-0.0057514634613953,0.021972255492438,-0.3449599184548932,0.6520002018148177,0.5717381048612507,0.359185093007036,0.3483502605840306,-0.6465495780794748,-0.577894771396346,-0.3558979802093281,-0.64605460681818,0.08506341008525,29.442265586371,29.60728700167,-95.064362543866,-1263130.664864948,-18164883.77561778,10277806.33626078,-1607372.694090805,-18137663.98080292,10277806.33626078,1.0865917395714,476.4565299081,26.000000001236,3240.5431463222635,3,476.4565299080974,500.00000000340515,135.20900153585805,-0.6615281971079932,0.75,0.2499999999999999,0.0,3.051274012996916e-05,-2.429126416393992e-05,-1.3959832299996433e-05,0.02655702504908,0.0001782692767045,-0.0048892991053577,0.51674464076206,-1.6591861277000315
260.08,61.88139701,7078152.422,229.872303669,1357.80439862,229.8574366326993,0.3412781399290052,-2.591977637161634,0.0265441793714997,0.0001781992728381,-0.0048870342576208,-0.0104835417175019,0.1134185790871207,0.0227207825257291,-0.3443887281337928,-0.0781059684962303,-32.12337141442114,229.8574366326993,0.3412781399290052,-2.591977637161634,1342.895396568016,20.40047737369308,199.6210392193624,20.42153954932682,112.1413278540465,199.621039254625,229.6349816644913,10.44257004880434,0.0626917425153061,502.4579869993,476.45590291073,0.1045129232020255,-0.6615357796449979,2.517469550500207,0.9997414987008424,0.0010386281163463,-0.0057515263172931,0.0219721878361135,-0.3449599234145372,0.652000152904953,0.5717382470665942,0.3591849506689798,0.3483503939561235,-0.6465493171196021,-0.5778951488671122,-0.3558977108200782,-0.64606604473743,0.085063767705756,29.442271878857,29.607293315936,-95.064362215279,-1263117.235910458,-18164883.57161868,10277808.33247004,-1607372.489875383,-18137662.85939034,10277808.33247004,1.0866335203127,476.45590291073,25.999999999316,3238.244480190192,3,476.4559029107292,500.00000000339946,135.20915927810083,-0.6615357796449978,0.75,0.2499999999999999,0.0,3.050466989112619e-05,-2.4287517047099186e-05,-1.3918481161634175e-05,0.0265441793714997,0.0001781992728381,-0.0048870342576208,0.5167447509667842,-1.6591861219651074
260.09,61.88154131,7078160.716,229.872569583,1357.80434541,229.857702010214,0.3412799689745407,-2.592026500555122,0.0265313406860296,0.0001781301120017,-0.0048847695241249,-0.0104752171759579,0.1134125185467099,0.0227086053377689,-0.3444058394794271,-0.0781064263518374,-32.12336995588083,229.857702010214,0.3412799689745407,-2.592026500555122,1342.895291774232,20.40161152916511,199.6212663662695,20.42153436082396,112.1414695406187,199.6212664016522,229.635248631775,10.44255302415998,0.0626764686960865,502.45736015588,476.45527607318,0.1045304854054301,-0.6615433600685278,2.517461712328575,0.9997414996615542,0.0010387823952517,-0.0057515891554971,0.0219721203862591,-0.3449599284328328,0.6520001041204604,0.5717383891161516,0.3591848082948716,0.3483505273863734,-0.6465490562863839,-0.577895526183175,-0.355897441394172,-0.64607747734711,0.085064125195293,29.442278171351,29.607299630208,-95.064361886692,-1263103.806957016,-18164883.36760823,10277810.32868157,-1607372.285660014,-18137661.73797636,10277810.32868157,1.086675301054,476.45527607318,25.999999997396,3235.945811404101,3,476.4552760731776,500.0000000033938,135.20931694435498,-0.6615433600685277,0.75,0.2499999999999999,0.0,3.0496594902580594e-05,-2.4283767850940675e-05,-1.387714490925952e-05,0.0265313406860296,0.0001781301120017,-0.0048847695241249,0.5167448611716364,-1.659186116230192
260.1,61.88168555,7078169.006,229.872835369,1357.80429226,229.8579672593767,0.3412817973155118,-2.592075341304451,0.026518508987845,0.0001780617936578,-0.004882504913958,-0.0104668946486095,0.1134064612103423,0.0226964345952094,-0.3444229426536928,-0.0781068840251099,-32.12336849796939,229.8579672593767,0.3412817973155118,-2.592075341304451,1342.895187063683,20.40274562404787,199.6214933914369,20.42152925543811,112.1416111651617,199.6214934269398,229.6355154663128,10.44253608778436,0.0626612075942643,502.45673346147,476.45464938239,0.1045480427097215,-0.6615509383773814,2.517453897841831,0.9997415006178432,0.0010389366321901,-0.0057516519759975,0.0219720531428002,-0.3449599335097436,0.6520000554613019,0.5717385310099596,0.3591846658847576,0.3483506608747444,-0.646548795579782,-0.5778959033445704,-0.3558971719316557,-0.64608890464738,0.085064482555974,29.442284463852,29.607305944489,-95.064361558107,-1263090.378004622,-18164883.16358645,10277812.32489537,-1607372.081444696,-18137660.61656095,10277812.32489537,1.0867170817953,476.45464938239,26.000000002001,3233.6471399639886,3,476.4546493823946,500.00000000338815,135.2094745346674,-0.6615509383773814,0.75,0.2499999999999999,0.0,3.048851545280308e-05,-2.428001650573196e-05,-1.3835823558822528e-05,0.026518508987845,0.0001780617936578,-0.004882504913958,0.5167449713766163,-1.6591861104952859
